Comment,Designator,Footprint,LCSC
"100uF","C111","cjh_jlcpcb:CP_EIA-3528-21_Kemet-B","C16133"
"100n","C109,C112,C114,C115,C116","Capacitor_SMD:C_0805_2012Metric","C49678"
"SS14","D101,D105,D106","Diode_SMD:D_SMA","C2480"
"BLM18PG121SN1D","FB102","Inductor_SMD:L_0603_1608Metric","C73100"
"USB_B_Micro","J101","cjh_jlcpcb:XKB_Micro_USB_B_U254","C319170"
"Barrel_Jack_Switch","J102","cjh_jlcpcb:XKB-DC-009A-2.0","C319131"
"MMBT5551","Q102,Q103","cjh_jlcpcb:SOT-23","C2145"
"MMBT5401","Q107","cjh_jlcpcb:SOT-23","C8326"
"10k","R109,R110,R113,R116","Resistor_SMD:R_0805_2012Metric","C17414"
"220R","R118","Resistor_SMD:R_0805_2012Metric","C17557"
"10R","R120","Resistor_SMD:R_0805_2012Metric","C17415"
"SRV05-4","U101","cjh_jlcpcb:SOT-23-6R","C85364"
"CH340C","U102","cjh_jlcpcb:SOIC-16_3.9x9.9mm_P1.27mm","C84681"
"AMS1117-3.3","U105","cjh_jlcpcb:SOT-223-3_TabPin2","C6186"
"ESP32-WROOM-32D","U106","cjh_jlcpcb:ESP32-WROOM-32",""
"ILI9341_SPI_Touch_SD","U107","cjh:TJCTM24024-SPI",""